rating_review,review_full
5,"Totally in love with the Auro of the place, really beautiful and quite fancy at the same time. The ambience is very pure and gives a sense of positivity throughout. Outdoor and indoor interior are quite quaint and cute. Love the open kitchen idea and there whole marketplace ideology. Due to coronovirus they specifically use disposable cutlery to keep the pandemic in mind taking all the precautionary measures from the beginning of the place with the mask on their staff and using good sanitisation. The food is really amazing specially the pizza straight from the oven and the hummus and pita bread are quite delicious too. If you're looking for a classy yet soothing Italian place in Delhi,Fatjar is a go to for you!"
5,I went this bar 8 days regularly with my husband.. we are fully satisfied by the services. Staff is better (vitoni and amen) they both served us daily . Will surely visit again. Highly recommended ❣️
5,We were few friends and was a birthday celebration. The food was so good in taste and it was really fresh. We all loved it and highly recomment.
5,Fatjar Cafe and Market is the perfect place for a casual lunch with your loved ones. The Ambience is delightful and the food is totally the best thing about the place! YOu can purchase your choosing of Olives and a lot more directly from the place. They are taking all the prevention measures for the spread of COVID-19 and I can say this without hesitation that it is by far the most safest place felt after looking at their actions ✨
5,"Hey Guys, if you are craving for pizza and searching for it then you should visit this cafe. Yes, I highly recommend you to visit this FatJar Cafe because the cafe offers scrumptious pizza. I have ordered Veggie Pizza which was really awesome. Apart from that, I have also ordered Cappuccino and one soft drink. If I talk about the ambiance then no doubt, because it is absolutely pretty. From my side I'll give 5/5 for this cafe. It is completely amazing. I had a great experience with this cafe. Here are some pictures have a look "
5,"We were looking for a special meal and we found it at the FatJar . Well presented and tasty food , whilst it is more expensive than we usually pay , it was well worth the experience. I had Chicken with roast vegetables, the chicken was tender and tasty and the vegetables tasted like vegetables, my husband ate a pasta dish , which by Indian standards was very good.  If you are looking for a holiday from Indian food and don’t mind the small extra expense then treat yourselves to this restaurant. They also have a Range of wine and beer."
5,"Kailash colony is brimming with small cafes now. I happened to visit this beauty for lunch and was amazed with the 1st impression it made.  We started with Falafel & Pita and Margherita Pizza. Safe to say, Margherita pizza was the best choice of the day. Its made freshly in front of you in the Wood Fired oven. The taste was exquisite and I would recommend this to anybody who plans to visit this outlet. I could come here just to have that Pizza. Hummus, Pita and Falafel were a good side dish while we ordered the next couple of dishes. We moved on to order Fussili Alfredo. This white sauce fussili pasta was good but could not be compared to the pizza we had earlier.  In the end, we went for Frozen Yoghurt with Honey. It is recommended to have it with honey, which will do wonders to the frozen yoghurt!  This place turned out to be quite peaceful and the plants enhanced its beauty."
5,"If you are looking for a varied selection of delicious, high quality dishes, this is your place. We spent three weeks traveling around India, and our best meals of the trip were unquestionably found here. Great place if you are tiring of the typical Indian dishes and are lusting for some ethnic variety. Oh, and do yourself a favor: You MUST get the Sticky Date Pudding with Vanilla Bean Ice Cream. It may be the best dessert we have ever had."
5,"Kailash Colony is the place I always head to when I’m not in the mood for GK & Nehru Place’s hustle bustle. This time around we planned to visit Fatjar Café and Market which is right on the road and was very easy to find.   Fatjar’s ambience is very pleasing to the eyes and the light colours used makes it look very airy. The use of plants further makes this place look more beautiful. Most of the cooking is done in front of you with a semi open kitchen and their food fire oven looks amazing too. The products on display establishes the word “market” in the name perfectly. The varied seating options are very comfortable and a small outdoor seating is great for sunny winter lunches. The parking though is limited in front of the café.   We started our meal with some “Falafel & Pita” which had some moist falafels which were nicely fried and not at all oily. The pita breads were very fresh and so was the hummus. You could literally tell that that just after your first bite. The consistency of the hummus was noteworthy too. Next we ordered some humble “Truffle Fries” which were very crispy and a pinch of truffle to top them made them taste even better.   For the main course, we ordered a “Fussili Alfredo” which was very creamy and the pasta was cooked to perfection. The only thing they need to look at is that usually the pasta is supposed to be served along with a bread which they don’t. The highlight of our meal was simply their “Margherita Pizza” which had a brilliant base made out of the freshest dough you could think of. The cheese used to top the pizza looked very premium and the balance between the sauces and the cheese was tremendous too. The presentation deserves a special mention as it wasn’t the usual pizza stand they serve their pizza on but is more a raised steel stand which again was a nice touch.   To accompany our meal, we ordered a “Berries Shakes” which was very thick and was prepared using real berries instead of the preservatives filled syrups. Though the sweetness was a bit too low for our liking and a little more sweetness would have made that shake perfect.   We ended our meal with a “Frozen Yoghurt with Honey” which had two scoops of frozen yoghurt which had some ice crystals too and once you top it up with honey, the combination really does wonders to the taste.   The service was top notch and the stewards were very considerate about what we were ordering and didn’t shy away from recommending their favourites and also explaining the dishes on the menu. Overall, Fatjar simply amazed us with its varied food options on the menu and its serene ambience. The place looked fantastic and is perfect for a romantic date or co working or if you are looking forward to a quiet and a hearty meal."
5,Real nice and comfortable bar. I am a whiskey man and they got huge varieties of whiskey. What I love about this place is there staff and service. Special thanks to vittoni....
4,"We had drinks during happy hour, good selection & excellent service at the bar. We didn’t eat but the food looked really good. "
5,"Stopping in Delhi for a day, we had a wonderful time at the Savannah bar at the Rasisson Blu Plaza Delhi Airport.  Emmanuel Paul from Chandigarh is amazing "
5,"Place is having lots of choices to make from single malt to scotch whisky, beer to vodka  The best things about the bar is they offer happy hours 5-9 pm even on weekends.  Special thanks to Vitoni she is truly legend and an asset to Radisson"
5,A flying visit but has been amazing. Emmanuel has been very attentive and helpful. Very appreciative of the help I was given with suggestions be it on the menu or how to occupy my day. 
5,"emanuel made me a savannah special mojito and it was awsome, also his recommendations paid out tremendiously... !! give it a try!"
5,Amazing food. Amazing hospitality.. friendly staff...had fun Mr zeeshan took great care of ours. Special thanks
5,I had really amazing food with mouthwatering desserts by chef Ranvir i had good time hope to come again soon 
5,"Excelente cooperative and carIng staff, special thanks to Mr.Ajay Zeeshan Pankaj. They are on their tose to keep guest haapy."
5,"Excellent food and amazing service given by the zeeshan& shubham, rajbhog was really tasty. Thanks level2 team"
5,Thanks Shubham for a very entertaining evening. Good guy. Food was OK.  Restaurant is nice. Ice cream was excellent.
5,"Very good service. Lunch was tailored to our preference of mild spices. Family enjoyed thoroughly. Vishal, our server was very polite and helpful."
5,"For hangout with friends. It was grt pleasure with too meat with Surender, he made my day wonderfull, i like this place for hangout"
5,Excellent service super decor .....u can enjoy type of your choice ....hygiene place cleanliness is very high ....
5,"Ate here twice when we were in Delhi - great food, beer and wine. Loved the Lamb specials - an Indian style Sunday roast dinner! Great pizza and Puddings and proper coffee. A little pricey for Delhi but good for a change"
4,"was staying near by so visited this place. huge place with loads of options to eat and has a small deli too. ordered for the pesto mozzarella pesto sandwich which turned out to be very good. shot of espresso was good too. if budget isn't a problem, this place is not to be missed for the quality of the ingredients they use."
5,Fat Jar is one of the most hygienic and beautiful places in Delhi NCR.Pizza and coffee are so good here. I would also recommend the in house tea which is served hot and is delicous.
5,"A very good bar with excellent service. You do't have to sit and wait long for service and the staff is so fast, helpful and serviceminded."
5,"It was amazing evening with great outdoor (open air seating) with some good cocktails served by Vitoni & Moses.  All cocktail was perfect we had sangria, whiskey sour and cosmopolitan.  Thank you for great evening."
4,Emmanuel is a good stirrer and shaker. They taste great and he is very knowledgeable. A good place to relax.
5,"Superb , fantastic , good service..food was tasty , Tarun and Akash was really good in service and very polite too..."
5,Very good service as well as food....Nice experience....Staff is very supportive and cooperative...
5,"staff service served by ""Mr..shubham"" was very good, food was very delicious and well cooked. Ambience was also very amazing.! loved each and everything about my lunch.! really very happy.!"
5,"Really good atmosphere and good service from the staff. Especially surendra, really helpful through out the match even at such a late time."
5,I have been to Novotel great time over there specially chef Rohit he made pineapple barbeque and radhey at bar he sugguested me a wine was so good and Akshay and kishan at food exchange was nice and manager Ashutosh and sumit help me alot thanks every one and vikas at quoin also thank Novotel will recommend to my friends and family.
5,"I loved this place .. its one of my fav hangouts places now.. Radhey and vikas .. both are really good and hardworking.. I js loved thr hospitality.. . Lots of thanks to u guys. I suggest this place. most important its opn 24x7 .. ❤️❤️.. .. amazing food , ambience too good ."
5,Quoin is best hotel in thh city where you will get very taste and delicious foods. Its famous for its attractive services.
5,"Surendea singh Gusain,  I am very happy & fully satisfied with his pro-active service! Good job! I love the place very much. Thanx u for surendra once again."
5,"Eaten here a few times, consistently high standard of food and drink from Abishek and the team. They fix any issues immediately, and can’t do enough to give you an amazing experience while you’re here. "
5,Delicious food and amazing drinks. We ordered the hangar infused gin and it tastes so amazing. ASHWIN was so nice to us and he is a very humble guy. We will love to visit again. 
5,Great service with quite polite and generous staff. Must hangout at hanger. I was served by Mr. Shubham very cooperative and friendly person. The place is very neat and clean and follows all rules of safety and cleanliness. Great food and great Drinks. Cheers!
5,"I came to the hangar lounge and bar with my friends. It was a great experience, prateek serve us and offer us a good beer Bero 360. It was great in taste. We will come soon!!"
5,We had a ball of time and we couldn't have asked for a nicer host. Shubham provided great service and recommendations. He was nice enough to gave us a celebratory cake as we were celebrating a b'day.  Would recommend to everyone.
5,Must visit ! The lounge follows all covid precautions. Special thanks to Aakash for his dedication and service.
4,We were in this place for my friend's birthday celebration.Foods and drinks are awesome.Mr. Deepak is a very helpful and disciplined executive he helped us a lot to celebrate the day in the kavaana launge area. We will definitely come back and would love to take service from Mr. Deepak only. Thanks Deepak for taking good care of us 
5,"The Jw lounge is the greatest lounge ever i visited, because there are lots things to enjoy specially the foods quality, I have visited for client meeting for lunch, the attender Ms. Laxmi served to us good services, and we enjoy lots . thanks JW lounge"
5,"I am glad to have fun at JW lounge with my family and we have order our breakfast Paneer Tikka and Sandwich, the food was superb to eat and the hospitality serve by Ms. Laxmi at the venue was also superb, I hope I will come with my family again. thanks JW"
5,"I am truly amazed with the service provided by Rahul at K3! The service was promptly and food looked appetising. Inspite us being a family of 15 , he being single handed managed everything like a piece of cake. Each time he has a smile and fulfilled all we asked. Thank to Rahul our dinner went well"
5,Great advice from SUbham BArnwal regardinG my menu. The chef dharmender does great food. Nice place. Highly recommanded.
5,Great food and nice ambiance. Excellent service. Highly recommend. Impressed with Gaurav and Navin. Enjoy the music as well.
5,"Subham provided excellent service during our visit here. One of a kind atmosphere, live music. Must visit. 5-star all around"
5,"Services provided  by shubham and naveen are praiseworthy  and food quality  is too good .we visited  first time over here ,have seen the awesome interior and cleanliness.Thanx"
5,"Good food , ambience. Excellent services . Kudos to Gaurav Joshi for his hospitality.Nice soothing music"
5,The food was superb and service provided by Naveen highly recommended. I would like to come hear again.
5,"Staying in Hotel Pullman, Aerocity, New Delhi for the last 3 days. Enjoyed my breakfast daily at restaurant PLUCK. The hospitality, ambience & quality of food is simply amazing. Special thanks to hostess Manju for receiving me with a smile every morning, Rohit, Gaurav Rana , Sushil Mohan Singh, Lucy for serving me as per my wishes & last but not the least the CHEF Vinit for cooking amazing egg options for me.  Lots of love & the best to all staff here."
4,"Visited here for a dinner. The buffet had a variety of food varying from Indian, European, Italian, Japanese and Asian cuisine. Preparation of the food was very good and the presentation was also very nice. My favourite of the night will be pork belly, sushi and the fish curry which were excellent!  Service provided by Binay and Sushil was promising."
5,"I have been there for my business meeting at cafe Pluck, Mr. PANKAJ served us and we find his service's upto mark and really appreciated the beverages served to us. Moreover as it was a busy day for cafe Pluck even after he was at our services within time. I really want to thank Pullnam for hiring such a hardworking and dedicated staff for the sevices of your guests."
5,"Food is great, service is superb, amazing ambiance, I would love to come again with my Family and recommend my circle of people as well. Also the desert section is amazingTaken care byBinayAmitManishChef Manish"
5,Friendly staff specially Mr. RohitExcellent service and foodBeautiful ambienceSoo much of variety to choose
5,"We ordered pancakes, waffles, uttapam, chole kulche, tea, lassi. The food over here is delicious. The place is very hygienic and the staff is taking all precautions considering the pandemic. We were served by Binay at the table. He is very hospitable and we were verry happy with the way he interacted."
5,"Got a free surprise piece of cake for my birthday. Vilas was great, very friendly, happy, attentive!"
5,"Surendra, an attendee was very good. He speaks well and serve with all his heart and service is very quick like a fox. Had a great experience, he served an extra beer complementary."
5,"I visit this place very much because I love the place a lot, the staff of Quoin is very friendly, special I like the service of mr. Surendra Singh Gusain who is alway be proactive and alway ready for help. I really like this bar again"
5,Amazing food venue ambience and very helpful staff!  Had an amazing time with family would love to visit again!
5,Beautiful and hygienic bar with great service by Ashwin... A smart guy with lots of talent... Love to visit again!!!
5,"I had my birthday today and checked by calling on Hanger lounge and bar if open. Shubham responded and said to be here by 12:15 am. I order the food on my way so that stay on time to place the order. Everything was very well received Shubham... and about the food it was amazing... I didn’t expected to more than average but first bite and I was amazed. I specially wants to thank Shubham Rajput and Prateek Dewan for a memorable service. Regards, Anuj"
5,I travel far away from US after 10 years. The guy name Ashwin is amazing in this young age . So humble behaviour and he suggested me nice drinks and food too. Keep going little monster .
5,"I have visited the jw lounge for an meeting with my client, we have ordered mezze plater and coffee, the test was amazing both of coffee and mezze plater, we have received a good quality service/hospitality from Ms. Laxmi.  Thank you Jw lounge, see you again"
5,The hotel and staff are lovely and extremely attentive. The hot drinks and snacks are very nice indeed.  Had a lovely stay in the hotel and I was served by a very lovely staff member by the name of Laxmi.  Thsank you 
5,"I have visited at jw lough/restourant. There were a first class service at lough, specially Ms.laxmi  who were superbed for handling the client need, me and my family lots enjoyed her specialty in the manner, and Laxmi is a very very good in the client service, I hope when I will come against I would definitely serve from Ms. Laxmi and she is wonderful girl in that service. See you again Ms. Laxmi for the your best service which I have received from you at jw lough/resourant. Thank you JW Marriott Hotel at Atrocity, Delhi"
5,"The staff is very good and very satisfied with the hospitality. Specially, Laxmi took special care of my needs. It is my first choice for business meetings and proper ambience for meeting clients."
5,"Subham Barnwal’s hospitality was out of this world and food was amazing. Fish, Dal makhni and butter naan was very good"
5,"Visited with family ..it was as always a lovely experience with live music, lovely food and great service provided by Mr. Subham barnwal, Mr, Naveen negi and Mr. Dharmendra Sharma. Would strongly recommend this place for great experience and delicious food. Must try is soya chaap masala and dal makhni"
5,Excellent taste and awesome decorum. Must visit. Subham Barnwal had given us a great service. One of the best experience.
5,Food and services were very good  The staff was hospitable and polite Binay served us very well!  We had a mix of south indian and north indian breakfast recommended by the staff  Good hygiene and proper covid guidelines were followed which made the experience all the more better
5,Great variety and Amazing breakfast with the best hygiene standards. Special mention to BINAY for excellent service and being so gentle and helpful.Everything was very thought of.Keep up the good work guys! Cheers! :)
5,"We ordered home service .. the food was Promptly delivered on time ,meticulously packed and awesome as usual ... special thanks to Lucy who ensured that we loved not just the meal but the entire experience. Thanks"
5,"We visited here on our first night and really enjoyed the fresh food from here! My fiancé and I shared a fish curry, a vegetable curry, red and white rice and we tried an appam! Definitely worth trying as we had never heard of it  Service was great, food was relatively cheap and the place was lovely and clean! "
5,We were escorted by Mr. Sudhir Kumar throughout our stay in Radisson blu. He is an amazing guy with wonderful hospitality quality. He assisted in everything we needed and much more. Kindly ask for him during your stay. Once again thank you From Sahib and Aanchal Chandok
5,"Great food, specially Dimsum...good music. Overall a mixture of ambience and food makes it a wow experience. Kudos to the team Kylin..."
5,"My hotel recommended this restaurant and it was great.  Two storey with terrace, small amount of tables and very minimalist.  Food was wonderful, service great.  Worth a ten minute tuk tuk from connaught place.  great experience."
4,"The hospitality of the place is par excellence. Rajinder will make you feel at home and give the best of suggestions to order. We ordered sundal and veg tacos as starters. Believe me, it was amazing stuff. For the main course, we ordered for appam, veg stew and avial. It was good except for the avial which was normal. Then we ordered for malabari parantha with malabari fish curry- it was out of the world preparations. Have not tasted such stuff outside South India  The food and overall ambience was extraordinary. Would recommend as one of the sought after place in Delhi."
4,"Very tasty Indian food here in a contemporary environment. Prices were a little bit higher than in nearby restaurants, and we weren’t quite as full, but it made a nice change. Worth a try."
4,My husband and I enjoyed both the cocktails and the tacos!!! The service could be improved in terms of welcoming and smiling
5,"Situated at the entry point of HKV, must say this is a place one has to visit if you love malabari cuisine, absolutely in love with the food. Must try: Kerala fish fry, special coffee and prawn curry.small place  so ideally book before.."
5,"A very well situated cafe/restaurant in a small shopping area, just on the edge of a park. There were 5 of us and we all ate different dishes, each one well cooked and interesting taste. I had a Goanese fish curry with mango, very good."
5,"I came here twice while I was staying in Hauz Khas. The food (I had the vegetable melee and paranthas both times) was totally delicious. The surroundings are stylish, the prices are good, everything was great - thank you!"
4,"We came for dinner with a group of friends prepared to dine, meaning enjoying each other as much as the food. The space was compact and a little noisy when the place was full, but it didn’t really intrude on our experience.  Service was friendly and knowledgeable. It could have been a bit more prompt, but as we were there for the evening, again, it didn’t really intrude. The menu is largely Keralan with the addition of Western dishes for the Western palate. We stuck with Kerala. I sampled a kokum-infused coconut vegetable curry with red rice and appa, a rice flour griddle bread. It was delicious with one very hot chili which I happened to find. There were lots of alcoholic choices in the menu, but we had the mint infused lemonade. Also delicious. For dessert I chose a sticky toffee pudding which was not exactly the classic form, a steamed pudding, but was more like a gingerbread with a caramel sauce. It was good if not what I expected.  We had a lovely evening and I would certainly return. "
5,"Great food and ausome taste, and service was really too good. I came to nyc with my family and enjoyed the food, Alloo tika and channa ka tikka was delicious . Thanks to sudhir and Hemoparbha for good service."
5,"Rajat Malik and Abhishek Chaudhary were excellent at assisting me with all my queries. An incredible experience, would love to visit again!"
5,Great food and services!Amazing service by Sumit! The dinner was served well and the Street food festival is great!
5,"Street food fest it was amazing being there.. specially when you are a foodie and you missed all street food then suddenly aisa kuch options mile to its like Radisson this was really best gift of 2020 I have no words seriously I really loved 1. Paan k patte ki chaat 2. Jalebi chaat 3. pav bhaji 4. golgappa 5. momo for Dessert lovers desert section is full of sweets from all Famous region of india rasgulla to barfi, gulab jamun to rasmalai And many more to explore go and visit there guy's"
5,"The food was absolutely wonderful, from preparation to presentation, very pleasing. We especially enjoyed the Indian options !  Mr. Ankush & his team made our morning stupendous with wonderful hospitality.Thanx cheers  Lakshya duggal #260"
5,"The ambience was great, with good music in the background. Food was also really great. Mr. Sudhir was very friendly, professional and prompt in is service."
5,"We visited the restaurant last night for a family get together. I must say from the start till the end it was the best service that i have dealt with. The food was awesome. Their Cafe was busy so they arranged for some indian dishes at their speciality restaurant only because my other wanted to have indian. Special thanks to Sagar, Girish and Ashish. Thank u for baby sittong my naughty kid so that we could enjoy the sumptuous meal.. Bravo. Sagar u r an asset to the hotel."
5,"We came to Kylin for Family dinner. Like all my wonderful experiences with Kylin which makes it my top choice for all my out dinings, this too turned out to be amazing. Food was delicious and fresh as always. Baby potatoes are my favourite and a must to order here.. The staff is just fantastic. I think of exploring new restaurants here but I always get back to kylin , thanks to the kind of hospitality from this restaurant. Entire staff is great . Special Thanks to Sagar and Girish for the great service :-) The family dinner went really good.."
5,"레스토랑은 마유르비하르에 위치한 홀리데이인 호텔 로비에 있고, 분위기도 좋고, 직원들도 친절합니다. 새우 스시를 주문했는데 맛도 좋습니다. Wonderful atmosphere with Mr.Sagar's good service and nice tastes. Dim sum should be improved but generally wonderful."
